business_name,location
Neighborhood Tennis,Coral Gables FL
Riviera Country Club,Coral Gables FL
Coral Gables Country Club,Coral Gables FL
Coral Gables Athletic Club,Coral Gables FL
Salvadore Park Tennis Center,Coral Gables FL
William H. Kerdyk Biltmore Tennis Center,Coral Gables FL
Deering Bay Country Club,Coral Gables FL
Neil Schiff Tennis Center UM,Coral Gables FL
The Gables Condominium,Coral Gables FL
Cocoplum,Coral Gables FL
Village at Dadeland,Coral Gables FL
Gulliver Academy,Coral Gables FL

